class,x1-x0,y1-y0,z1-z0,x2-x1,y2-y1,z2-z1,x3-x2,y3-y2,z3-z2,x4-x3,y4-y3,z4-z3,x5-x4,y5-y4,z5-z4,x6-x5,y6-y5,z6-z5,x7-x6,y7-y6,z7-z6,x8-x7,y8-y7,z8-z7,x9-x8,y9-y8,z9-z8,x10-x9,y10-y9,z10-z9,x11-x10,y11-y10,z11-z10,x12-x11,y12-y11,z12-z11,x13-x12,y13-y12,z13-z12,x14-x13,y14-y13,z14-z13,x15-x14,y15-y14,z15-z14,x16-x15,y16-y15,z16-z15,x17-x16,y17-y16,z17-z16,x18-x17,y18-y17,z18-z17,x19-x18,y19-y18,z19-z18,x20-x19,y20-y19,z20-z19,x21-x20,y21-y20,z21-z20,x22-x21,y22-y21,z22-z21,x23-x22,y23-y22,z23-z22,x24-x23,y24-y23,z24-z23,x25-x24,y25-y24,z25-z24,x26-x25,y26-y25,z26-z25,x27-x26,y27-y26,z27-z26,x28-x27,y28-y27,z28-z27,x29-x28,y29-y28,z29-z28,x30-x29,y30-y29,z30-z29,x31-x30,y31-y30,z31-z30,x32-x31,y32-y31,z32-z31,x33-x32,y33-y32,z33-z32,x34-x33,y34-y33,z34-z33,x35-x34,y35-y34,z35-z34,minx,miny,mine,maxx,maxy,maxe
2,0,0,0.0,0,0,0.0,0,0,0.0,1,-2,2.23606797749979,3,-1,3.1622776601683795,0,-1,1.0,1,0,1.0,0,0,0.0,0,0,0.0,4,-1,4.123105625617661,9,-1,9.055385138137417,12,-4,12.649110640673518,14,-1,14.035668847618199,14,1,14.035668847618199,14,1,14.035668847618199,15,4,15.524174696260024,20,4,20.396078054371138,23,7,24.041630560342615,20,2,20.09975124224178,12,1,12.041594578792296,13,1,13.038404810405298,12,2,12.165525060596439,0,-1,1.0,-1,1,1.4142135623730951,-24,0,24.0,-22,1,22.02271554554524,-20,-2,20.09975124224178,-24,-5,24.515301344262525,-29,-6,29.614185789921695,-27,-7,27.892651361962706,-22,-3,22.20360331117452,-28,-2,28.071337695236398,-19,-9,21.02379604162864,-18,-7,19.313207915827967,-32,12,34.17601498127012,0,0,0.0,32,12,34.17601498127012
2,0,0,0.0,-1,0,1.0,1,0,1.0,1,-2,2.23606797749979,3,-1,3.1622776601683795,1,-1,1.4142135623730951,0,-1,1.0,1,0,1.0,0,0,0.0,4,-1,4.123105625617661,6,-4,7.211102550927978,10,-5,11.180339887498949,11,-4,11.704699910719626,11,-3,11.40175425099138,11,-2,11.180339887498949,12,0,12.0,16,0,16.0,19,0,19.0,18,0,18.0,13,-1,13.038404810405298,12,-1,12.041594578792296,12,0,12.0,0,0,0.0,-14,0,14.0,-22,3,22.20360331117452,-21,2,21.095023109728988,-18,1,18.027756377319946,-22,-2,22.090722034374522,-26,-1,26.019223662515376,-25,-2,25.079872407968907,-20,0,20.0,-24,2,24.08318915758459,-16,-4,16.492422502470642,-15,-1,15.033296378372908,-25,20,32.01562118716424,0,0,0.0,26,20,32.01562118716424
2,1,-1,1.4142135623730951,0,0,0.0,1,-3,3.1622776601683795,0,-4,4.0,1,-7,7.0710678118654755,1,-5,5.0990195135927845,1,-6,6.082762530298219,2,-9,9.219544457292887,1,-10,10.04987562112089,0,-10,10.0,1,-12,12.041594578792296,-1,-13,13.038404810405298,-1,-13,13.038404810405298,-2,-13,13.152946437965905,-2,-13,13.152946437965905,-2,-14,14.142135623730951,-2,-14,14.142135623730951,0,-15,15.0,-1,-13,13.038404810405298,0,-11,11.0,0,-8,8.0,3,-7,7.615773105863909,2,-4,4.47213595499958,0,0,0.0,4,8,8.94427190999916,5,11,12.083045973594572,8,10,12.806248474865697,7,11,13.038404810405298,5,15,15.811388300841896,3,24,24.186773244895647,1,27,27.018512172212592,-2,27,27.073972741361768,-5,26,26.476404589747453,1,14,14.035668847618199,11,0,11.0,0,0,0.0,11,27,27.073972741361768
2,0,0,0.0,-1,0,1.0,0,0,0.0,1,-1,1.4142135623730951,2,-1,2.23606797749979,1,-1,1.4142135623730951,-1,0,1.0,0,0,0.0,1,0,1.0,2,-1,2.23606797749979,0,0,0.0,11,-3,11.40175425099138,11,-2,11.180339887498949,0,0,0.0,11,0,11.0,12,4,12.649110640673518,17,2,17.11724276862369,19,6,19.924858845171276,17,3,17.26267650163207,0,-1,1.0,0,0,0.0,0,1,1.0,0,-1,1.0,0,1,1.0,-24,0,24.0,-22,0,22.0,-20,-3,20.223748416156685,-23,-5,23.53720459187964,-29,-6,29.614185789921695,-25,-6,25.709920264364882,-22,-3,22.20360331117452,-27,-2,27.073972741361768,-17,-9,19.235384061671343,-16,-6,17.08800749063506,-30,12,32.31098884280702,0,0,0.0,30,12,32.31098884280702
2,0,0,0.0,-1,0,1.0,1,0,1.0,2,-2,2.8284271247461903,1,-1,1.4142135623730951,2,-2,2.8284271247461903,0,0,0.0,0,0,0.0,1,0,1.0,3,-2,3.605551275463989,5,-5,7.0710678118654755,7,-6,9.219544457292887,9,-6,10.816653826391969,9,-6,10.816653826391969,9,-3,9.486832980505138,10,-3,10.44030650891055,13,-3,13.341664064126334,16,-3,16.278820596099706,15,-2,15.132745950421556,11,-4,11.704699910719626,11,-2,11.180339887498949,10,-2,10.198039027185569,0,-1,1.0,-11,2,11.180339887498949,-19,6,19.924858845171276,-17,5,17.72004514666935,-16,2,16.1245154965971,-18,2,18.110770276274835,-21,2,21.095023109728988,-21,2,21.095023109728988,-17,3,17.26267650163207,-20,4,20.396078054371138,-13,-1,13.038404810405298,-12,4,12.649110640673518,-19,22,29.068883707497267,0,0,0.0,21,22,29.068883707497267
2,2,-1,2.23606797749979,0,0,0.0,2,-2,2.8284271247461903,1,-2,2.23606797749979,2,-5,5.385164807134504,2,-5,5.385164807134504,2,-6,6.324555320336759,3,-8,8.54400374531753,3,-8,8.54400374531753,2,-9,9.219544457292887,2,-10,10.198039027185569,2,-12,12.165525060596439,1,-11,11.045361017187261,0,-11,11.0,-1,-13,13.038404810405298,0,-12,12.0,0,-13,13.0,1,-14,14.035668847618199,1,-12,12.041594578792296,1,-11,11.045361017187261,1,-8,8.06225774829855,3,-6,6.708203932499369,2,-4,4.47213595499958,1,0,1.0,2,6,6.324555320336759,4,10,10.770329614269007,7,9,11.40175425099138,5,9,10.295630140987,3,14,14.317821063276353,-1,21,21.02379604162864,-3,23,23.194827009486403,-6,24,24.73863375370596,-7,23,24.041630560342615,0,12,12.0,11,0,11.0,0,0,0.0,11,24,24.73863375370596
2,0,0,0.0,-1,0,1.0,0,0,0.0,2,-2,2.8284271247461903,2,-1,2.23606797749979,1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,1,0,1.0,2,-1,2.23606797749979,5,-4,6.4031242374328485,8,-4,8.94427190999916,9,-4,9.848857801796104,8,-3,8.54400374531753,8,-2,8.246211251235321,9,-1,9.055385138137417,12,-1,12.041594578792296,15,0,15.0,16,0,16.0,10,-2,10.198039027185569,10,-1,10.04987562112089,9,0,9.0,0,0,0.0,-13,-1,13.038404810405298,-22,2,22.090722034374522,-20,2,20.09975124224178,-16,0,16.0,-18,-2,18.110770276274835,-20,-1,20.024984394500787,-19,-1,19.026297590440446,-17,0,17.0,-20,2,20.09975124224178,-10,-3,10.44030650891055,-7,1,7.0710678118654755,-17,19,25.495097567963924,0,0,0.0,22,19,25.495097567963924
2,1,-1,1.4142135623730951,0,0,0.0,1,-1,1.4142135623730951,0,-2,2.0,1,-4,4.123105625617661,1,-4,4.123105625617661,1,-5,5.0990195135927845,2,-6,6.324555320336759,2,-7,7.280109889280518,1,-8,8.06225774829855,1,-9,9.055385138137417,0,-10,10.0,0,-10,10.0,-1,-10,10.04987562112089,-1,-10,10.04987562112089,-2,-11,11.180339887498949,-1,-12,12.041594578792296,-1,-12,12.041594578792296,1,-11,11.045361017187261,0,-10,10.0,0,-8,8.0,2,-6,6.324555320336759,2,-4,4.47213595499958,0,0,0.0,4,7,8.06225774829855,4,8,8.94427190999916,8,8,11.313708498984761,6,8,10.0,4,13,13.601470508735444,2,21,21.095023109728988,0,23,23.0,-4,24,24.331050121192877,-5,22,22.561028345356956,1,11,11.045361017187261,11,0,11.0,0,0,0.0,11,24,24.331050121192877
2,2,0,2.0,2,0,2.0,3,-1,3.1622776601683795,1,-1,1.4142135623730951,3,-4,5.0,3,-4,5.0,3,-5,5.830951894845301,3,-6,6.708203932499369,4,-6,7.211102550927978,4,-8,8.94427190999916,3,-8,8.54400374531753,4,-9,9.848857801796104,2,-11,11.180339887498949,2,-10,10.198039027185569,2,-11,11.180339887498949,1,-11,11.045361017187261,2,-11,11.180339887498949,2,-13,13.152946437965905,2,-11,11.180339887498949,2,-10,10.198039027185569,2,-7,7.280109889280518,4,-7,8.06225774829855,3,-4,5.0,0,1,1.0,1,4,4.123105625617661,4,9,9.848857801796104,5,8,9.433981132056603,4,9,9.848857801796104,1,11,11.045361017187261,-2,19,19.1049731745428,-5,21,21.587033144922902,-8,21,22.47220505424423,-10,20,22.360679774997898,-1,10,10.04987562112089,12,1,12.041594578792296,0,0,1.0,12,21,22.47220505424423
2,0,0,0.0,0,0,0.0,0,0,0.0,1,-2,2.23606797749979,1,-1,1.4142135623730951,1,-1,1.4142135623730951,1,-1,1.4142135623730951,0,1,1.0,1,-1,1.4142135623730951,1,-1,1.4142135623730951,3,-4,5.0,6,-8,10.0,6,-6,8.48528137423857,6,-6,8.48528137423857,7,-4,8.06225774829855,8,-5,9.433981132056603,9,-4,9.848857801796104,13,-6,14.317821063276353,12,-5,13.0,9,-5,10.295630140987,10,-4,10.770329614269007,8,-3,8.54400374531753,0,-1,1.0,-8,4,8.94427190999916,-15,8,17.0,-12,7,13.892443989449804,-12,4,12.649110640673518,-15,3,15.297058540778355,-17,4,17.46424919657298,-17,4,17.46424919657298,-14,3,14.317821063276353,-16,6,17.08800749063506,-11,0,11.0,-10,4,10.770329614269007,-13,23,26.419689627245813,0,0,0.0,17,23,26.419689627245813
