class,x1-x0,y1-y0,z1-z0,x2-x1,y2-y1,z2-z1,x3-x2,y3-y2,z3-z2,x4-x3,y4-y3,z4-z3,x5-x4,y5-y4,z5-z4,x6-x5,y6-y5,z6-z5,x7-x6,y7-y6,z7-z6,x8-x7,y8-y7,z8-z7,x9-x8,y9-y8,z9-z8,x10-x9,y10-y9,z10-z9,x11-x10,y11-y10,z11-z10,x12-x11,y12-y11,z12-z11,x13-x12,y13-y12,z13-z12,x14-x13,y14-y13,z14-z13,x15-x14,y15-y14,z15-z14,x16-x15,y16-y15,z16-z15,x17-x16,y17-y16,z17-z16,x18-x17,y18-y17,z18-z17,x19-x18,y19-y18,z19-z18,x20-x19,y20-y19,z20-z19,x21-x20,y21-y20,z21-z20,x22-x21,y22-y21,z22-z21,x23-x22,y23-y22,z23-z22,x24-x23,y24-y23,z24-z23,x25-x24,y25-y24,z25-z24,x26-x25,y26-y25,z26-z25,x27-x26,y27-y26,z27-z26,x28-x27,y28-y27,z28-z27,x29-x28,y29-y28,z29-z28,x30-x29,y30-y29,z30-z29,x31-x30,y31-y30,z31-z30,x32-x31,y32-y31,z32-z31,x33-x32,y33-y32,z33-z32,x34-x33,y34-y33,z34-z33,x35-x34,y35-y34,z35-z34,x36-x35,y36-y35,z36-z35,x37-x36,y37-y36,z37-z36,x38-x37,y38-y37,z38-z37,x39-x38,y39-y38,z39-z38,x40-x39,y40-y39,z40-z39,x41-x40,y41-y40,z41-z40,x42-x41,y42-y41,z42-z41,x43-x42,y43-y42,z43-z42,x44-x43,y44-y43,z44-z43,x45-x44,y45-y44,z45-z44,x46-x45,y46-y45,z46-z45,x47-x46,y47-y46,z47-z46,x48-x47,y48-y47,z48-z47,x49-x48,y49-y48,z49-z48,x50-x49,y50-y49,z50-z49,x51-x50,y51-y50,z51-z50,minx,miny,mine,maxx,maxy,maxe
2,0,-1,1.0,0,0,0.0,-1,1,1.4142135623730951,0,-1,1.0,1,0,1.0,1,-1,1.4142135623730951,1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,0,-1,1.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,5,-1,5.0990195135927845,7,-1,7.0710678118654755,10,-2,10.198039027185569,10,-1,10.04987562112089,10,-1,10.04987562112089,10,0,10.0,10,1,10.04987562112089,9,2,9.219544457292887,11,2,11.180339887498949,14,3,14.317821063276353,15,4,15.524174696260024,17,4,17.46424919657298,15,2,15.132745950421556,9,0,9.0,8,-1,8.06225774829855,8,0,8.0,2,0,2.0,0,0,0.0,0,0,0.0,0,0,0.0,-12,0,12.0,-1,1,1.4142135623730951,-16,1,16.0312195418814,-15,-1,15.033296378372908,-14,-3,14.317821063276353,-18,-4,18.439088914585774,-21,-4,21.37755832643195,-19,-5,19.6468827043885,-19,-3,19.235384061671343,-15,-3,15.297058540778355,-19,-1,19.026297590440446,-17,-3,17.26267650163207,-14,-7,15.652475842498529,-12,-7,13.892443989449804,-16,0,16.0,-24,11,26.40075756488817,-13,8,15.264337522473747,0,0,0.0,24,11,26.40075756488817
2,0,0,0.0,0,0,0.0,-1,0,1.0,0,0,0.0,1,-1,1.4142135623730951,2,-1,2.23606797749979,0,-1,1.0,1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,-1,1.0,1,0,1.0,4,-2,4.47213595499958,5,-3,5.830951894845301,8,-3,8.54400374531753,8,-4,8.94427190999916,8,-2,8.246211251235321,8,-3,8.54400374531753,7,-1,7.0710678118654755,8,0,8.0,9,0,9.0,11,0,11.0,13,0,13.0,14,1,14.035668847618199,13,0,13.0,9,-1,9.055385138137417,9,-2,9.219544457292887,8,0,8.0,9,0,9.0,2,-1,2.23606797749979,0,0,0.0,-9,0,9.0,-14,1,14.035668847618199,-16,2,16.1245154965971,-14,3,14.317821063276353,-14,0,14.0,-13,-1,13.038404810405298,-16,-1,16.0312195418814,-19,-1,19.026297590440446,-18,-2,18.110770276274835,-17,-1,17.029386365926403,-14,0,14.0,-18,2,18.110770276274835,-14,-1,14.035668847618199,-12,-3,12.36931687685298,-11,-2,11.180339887498949,-13,4,13.601470508735444,-19,16,24.839484696748443,-11,11,15.556349186104045,0,0,0.0,19,16,24.839484696748443
2,0,-1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-1,1.0,1,-3,3.1622776601683795,0,-1,1.0,1,-4,4.123105625617661,0,-4,4.0,1,-3,3.1622776601683795,1,-5,5.0990195135927845,1,-6,6.082762530298219,1,-6,6.082762530298219,0,-8,8.0,0,-8,8.0,0,-8,8.0,0,-10,10.0,0,-9,9.0,-1,-9,9.055385138137417,-1,-8,8.06225774829855,-2,-10,10.198039027185569,-2,-10,10.198039027185569,-1,-10,10.04987562112089,-2,-10,10.198039027185569,-1,-11,11.045361017187261,-1,-10,10.04987562112089,0,-9,9.0,0,-7,7.0,0,-7,7.0,1,-5,5.0990195135927845,1,-4,4.123105625617661,2,-4,4.47213595499958,2,-2,2.8284271247461903,0,1,1.0,0,0,0.0,3,6,6.708203932499369,4,8,8.94427190999916,4,9,9.848857801796104,7,7,9.899494936611665,5,8,9.433981132056603,3,10,10.44030650891055,3,14,14.317821063276353,2,18,18.110770276274835,0,19,19.0,0,19,19.0,-3,19,19.235384061671343,-4,19,19.4164878389476,0,12,12.0,4,5,6.4031242374328485,9,-1,9.055385138137417,13,-3,13.341664064126334,0,0,0.0,13,19,19.4164878389476
2,0,0,0.0,0,0,0.0,-1,0,1.0,1,0,1.0,0,-1,1.0,2,-1,2.23606797749979,0,-1,1.0,1,-1,1.4142135623730951,0,0,0.0,1,-1,1.4142135623730951,0,1,1.0,0,-1,1.0,0,0,0.0,1,-1,1.4142135623730951,3,-2,3.605551275463989,4,-4,5.656854249492381,6,-4,7.211102550927978,6,-5,7.810249675906654,6,-4,7.211102550927978,6,-3,6.708203932499369,6,-3,6.708203932499369,6,-2,6.324555320336759,8,-2,8.246211251235321,8,-2,8.246211251235321,11,-2,11.180339887498949,12,-3,12.36931687685298,11,-1,11.045361017187261,8,-3,8.54400374531753,8,-2,8.246211251235321,7,-2,7.280109889280518,8,-2,8.246211251235321,3,-1,3.1622776601683795,-1,0,1.0,-7,1,7.0710678118654755,-13,3,13.341664064126334,-13,4,13.601470508735444,-12,4,12.649110640673518,-11,3,11.40175425099138,-10,1,10.04987562112089,-14,0,14.0,-16,2,16.1245154965971,-15,1,15.033296378372908,-14,1,14.035668847618199,-12,2,12.165525060596439,-14,4,14.560219778561036,-12,2,12.165525060596439,-9,-2,9.219544457292887,-8,2,8.246211251235321,-10,8,12.806248474865697,-14,18,22.80350850198276,-8,12,14.422205101855956,0,0,0.0,16,18,22.80350850198276
2,1,-1,1.4142135623730951,-1,0,1.0,1,0,1.0,0,1,1.0,0,-1,1.0,1,-2,2.23606797749979,1,-1,1.4142135623730951,1,-3,3.1622776601683795,1,-4,4.123105625617661,1,-2,2.23606797749979,2,-4,4.47213595499958,2,-5,5.385164807134504,2,-5,5.385164807134504,2,-7,7.280109889280518,1,-7,7.0710678118654755,2,-7,7.280109889280518,1,-8,8.06225774829855,1,-9,9.055385138137417,0,-7,7.0,0,-8,8.0,0,-9,9.0,0,-9,9.0,-1,-9,9.055385138137417,0,-9,9.0,0,-9,9.0,1,-10,10.04987562112089,1,-9,9.055385138137417,1,-6,6.082762530298219,1,-7,7.0710678118654755,1,-5,5.0990195135927845,2,-4,4.47213595499958,2,-4,4.47213595499958,1,-2,2.23606797749979,0,1,1.0,1,1,1.4142135623730951,2,5,5.385164807134504,3,7,7.615773105863909,2,7,7.280109889280518,7,6,9.219544457292887,3,8,8.54400374531753,2,9,9.219544457292887,1,12,12.041594578792296,-1,16,16.0312195418814,-2,17,17.11724276862369,-3,17,17.26267650163207,-5,17,17.72004514666935,-5,16,16.76305461424021,-2,11,11.180339887498949,3,4,5.0,10,-1,10.04987562112089,12,-2,12.165525060596439,0,0,1.0,12,17,17.72004514666935
2,0,-1,1.0,-1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,-1,1.4142135623730951,0,-1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,-1,1.0,0,0,0.0,5,-1,5.0990195135927845,8,-2,8.246211251235321,2,0,2.0,8,-1,8.06225774829855,7,0,7.0,7,0,7.0,8,2,8.246211251235321,9,2,9.219544457292887,10,2,10.198039027185569,13,3,13.341664064126334,15,3,15.297058540778355,5,1,5.0990195135927845,7,-1,7.0710678118654755,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,-13,0,13.0,-6,0,6.0,-15,2,15.132745950421556,-14,-2,14.142135623730951,-14,-2,14.142135623730951,-16,-4,16.492422502470642,-19,-4,19.4164878389476,-18,-4,18.439088914585774,-18,-3,18.24828759089466,-13,-2,13.152946437965905,-18,-1,18.027756377319946,-15,-2,15.132745950421556,-11,-7,13.038404810405298,-9,-4,9.848857801796104,-12,0,12.0,-21,12,24.186773244895647,-10,9,13.45362404707371,0,0,0.0,21,12,24.186773244895647
2,0,-1,1.0,0,1,1.0,-1,0,1.0,1,0,1.0,0,-1,1.0,1,-1,1.4142135623730951,1,-1,1.4142135623730951,0,-1,1.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-1,1.0,3,-1,3.1622776601683795,4,-3,5.0,6,-3,6.708203932499369,7,-4,8.06225774829855,6,-2,6.324555320336759,6,-2,6.324555320336759,5,-1,5.0990195135927845,6,0,6.0,7,0,7.0,7,-1,7.0710678118654755,10,0,10.0,12,0,12.0,10,0,10.0,8,-2,8.246211251235321,7,-1,7.0710678118654755,7,-1,7.0710678118654755,7,0,7.0,2,-1,2.23606797749979,-1,0,1.0,-9,-1,9.055385138137417,-14,1,14.035668847618199,-17,2,17.11724276862369,-13,2,13.152946437965905,-13,0,13.0,-10,-1,10.04987562112089,-14,-1,14.035668847618199,-14,-1,14.035668847618199,-14,-1,14.035668847618199,-14,0,14.0,-11,0,11.0,-15,2,15.132745950421556,-12,-1,12.041594578792296,-7,-2,7.280109889280518,-5,-1,5.0990195135927845,-6,5,7.810249675906654,-14,15,20.518284528683193,-7,11,13.038404810405298,0,0,0.0,17,15,20.518284528683193
2,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,0,-1,1.0,0,-2,2.0,0,-1,1.0,1,-2,2.23606797749979,0,-3,3.0,0,-2,2.0,1,-3,3.1622776601683795,1,-5,5.0990195135927845,1,-4,4.123105625617661,0,-6,6.0,1,-6,6.082762530298219,1,-6,6.082762530298219,0,-7,7.0,0,-8,8.0,0,-7,7.0,-1,-6,6.082762530298219,-2,-7,7.280109889280518,-1,-8,8.06225774829855,0,-7,7.0,-2,-8,8.246211251235321,0,-9,9.0,0,-8,8.0,0,-8,8.0,0,-6,6.0,0,-6,6.0,0,-5,5.0,1,-4,4.123105625617661,2,-4,4.47213595499958,2,-1,2.23606797749979,0,0,0.0,0,1,1.0,2,5,5.385164807134504,4,7,8.06225774829855,3,7,7.615773105863909,6,4,7.211102550927978,4,7,8.06225774829855,3,8,8.54400374531753,3,12,12.36931687685298,0,15,15.0,0,17,17.0,-2,16,16.1245154965971,-3,17,17.26267650163207,-4,15,15.524174696260024,-1,11,11.045361017187261,4,4,5.656854249492381,9,-1,9.055385138137417,12,-4,12.649110640673518,0,0,0.0,12,17,17.26267650163207
2,1,-1,1.4142135623730951,0,1,1.0,1,0,1.0,0,0,0.0,0,0,0.0,2,-2,2.8284271247461903,1,-1,1.4142135623730951,2,-2,2.8284271247461903,2,-2,2.8284271247461903,1,-1,1.4142135623730951,2,-2,2.8284271247461903,3,-3,4.242640687119285,3,-4,5.0,2,-5,5.385164807134504,2,-5,5.385164807134504,3,-6,6.708203932499369,2,-7,7.280109889280518,2,-7,7.280109889280518,3,-7,7.615773105863909,0,-6,6.0,1,-8,8.06225774829855,1,-8,8.06225774829855,1,-8,8.06225774829855,1,-7,7.0710678118654755,1,-9,9.055385138137417,2,-9,9.219544457292887,3,-8,8.54400374531753,1,-5,5.0990195135927845,2,-6,6.324555320336759,2,-5,5.385164807134504,2,-5,5.385164807134504,3,-3,4.242640687119285,1,-1,1.4142135623730951,0,0,0.0,0,1,1.0,2,4,4.47213595499958,2,6,6.324555320336759,2,8,8.246211251235321,5,5,7.0710678118654755,2,7,7.280109889280518,2,8,8.246211251235321,-1,10,10.04987562112089,-3,14,14.317821063276353,-4,15,15.524174696260024,-5,15,15.811388300841896,-7,15,16.55294535724685,-6,14,15.231546211727817,-3,9,9.486832980505138,2,3,3.605551275463989,10,0,10.0,13,-2,13.152946437965905,0,0,0.0,13,15,16.55294535724685
2,0,0,0.0,0,0,0.0,-1,1,1.4142135623730951,1,0,1.0,1,-1,1.4142135623730951,1,-2,2.23606797749979,0,-1,1.0,1,0,1.0,1,0,1.0,0,-1,1.0,0,1,1.0,1,-1,1.4142135623730951,0,0,0.0,1,-1,1.4142135623730951,1,-2,2.23606797749979,3,-4,5.0,4,-5,6.4031242374328485,4,-5,6.4031242374328485,4,-3,5.0,4,-4,5.656854249492381,5,-4,6.4031242374328485,4,-2,4.47213595499958,5,-3,5.830951894845301,7,-3,7.615773105863909,8,-4,8.94427190999916,9,-4,9.848857801796104,9,-3,9.486832980505138,7,-4,8.06225774829855,6,-4,7.211102550927978,7,-2,7.280109889280518,6,-3,6.708203932499369,3,-1,3.1622776601683795,0,0,0.0,-6,2,6.324555320336759,-9,5,10.295630140987,-10,6,11.661903789690601,-8,5,9.433981132056603,-9,4,9.848857801796104,-8,3,8.54400374531753,-10,2,10.198039027185569,-13,3,13.341664064126334,-13,3,13.341664064126334,-11,3,11.40175425099138,-9,3,9.486832980505138,-11,5,12.083045973594572,-10,3,10.44030650891055,-7,0,7.0,-6,2,6.324555320336759,-7,8,10.63014581273465,-11,18,21.095023109728988,-6,12,13.416407864998739,0,0,0.0,13,18,21.095023109728988
