class,x1-x0,y1-y0,z1-z0,x2-x1,y2-y1,z2-z1,x3-x2,y3-y2,z3-z2,x4-x3,y4-y3,z4-z3,x5-x4,y5-y4,z5-z4,x6-x5,y6-y5,z6-z5,x7-x6,y7-y6,z7-z6,x8-x7,y8-y7,z8-z7,x9-x8,y9-y8,z9-z8,x10-x9,y10-y9,z10-z9,x11-x10,y11-y10,z11-z10,x12-x11,y12-y11,z12-z11,x13-x12,y13-y12,z13-z12,x14-x13,y14-y13,z14-z13,x15-x14,y15-y14,z15-z14,x16-x15,y16-y15,z16-z15,x17-x16,y17-y16,z17-z16,x18-x17,y18-y17,z18-z17,x19-x18,y19-y18,z19-z18,x20-x19,y20-y19,z20-z19,x21-x20,y21-y20,z21-z20,x22-x21,y22-y21,z22-z21,x23-x22,y23-y22,z23-z22,x24-x23,y24-y23,z24-z23,x25-x24,y25-y24,z25-z24,x26-x25,y26-y25,z26-z25,x27-x26,y27-y26,z27-z26,x28-x27,y28-y27,z28-z27,x29-x28,y29-y28,z29-z28,x30-x29,y30-y29,z30-z29,x31-x30,y31-y30,z31-z30,x32-x31,y32-y31,z32-z31,x33-x32,y33-y32,z33-z32,x34-x33,y34-y33,z34-z33,x35-x34,y35-y34,z35-z34,x36-x35,y36-y35,z36-z35,x37-x36,y37-y36,z37-z36,x38-x37,y38-y37,z38-z37,x39-x38,y39-y38,z39-z38,minx,miny,mine,maxx,maxy,maxe
2,0,-1,1.0,0,1,1.0,0,0,0.0,1,-1,1.4142135623730951,2,-2,2.8284271247461903,1,-1,1.4142135623730951,0,0,0.0,1,0,1.0,0,-1,1.0,3,2,3.605551275463989,3,-1,3.1622776601683795,6,-1,6.082762530298219,12,-2,12.165525060596439,12,-2,12.165525060596439,11,0,11.0,14,2,14.142135623730951,13,3,13.341664064126334,13,1,13.038404810405298,17,3,17.26267650163207,20,5,20.615528128088304,18,4,18.439088914585774,13,0,13.0,11,1,11.045361017187261,12,1,12.041594578792296,1,0,1.0,0,0,0.0,-17,-1,17.029386365926403,-22,1,22.02271554554524,-18,-1,18.027756377319946,-20,-2,20.09975124224178,-22,-5,22.561028345356956,-29,-4,29.274562336608895,-26,-6,26.68332812825267,-21,-5,21.587033144922902,-26,0,26.0,-22,-5,22.561028345356956,-19,-11,21.95449840010015,-19,-2,19.1049731745428,-33,12,35.11409973215888,0,0,0.0,33,12,35.11409973215888
2,0,-1,1.0,-1,1,1.4142135623730951,0,0,0.0,2,-1,2.23606797749979,2,-2,2.8284271247461903,1,-1,1.4142135623730951,1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,2,0,2.0,3,-1,3.1622776601683795,5,-3,5.830951894845301,9,-4,9.848857801796104,10,-5,11.180339887498949,10,-2,10.198039027185569,10,-2,10.198039027185569,9,-1,9.055385138137417,12,-1,12.041594578792296,15,0,15.0,17,1,17.029386365926403,16,0,16.0,12,-1,12.041594578792296,11,-1,11.045361017187261,11,0,11.0,4,-1,4.123105625617661,-5,1,5.0990195135927845,-16,-1,16.0312195418814,-21,3,21.213203435596427,-18,3,18.24828759089466,-17,0,17.0,-19,-1,19.026297590440446,-24,-2,24.08318915758459,-23,-1,23.021728866442675,-18,-1,18.027756377319946,-21,3,21.213203435596427,-18,-2,18.110770276274835,-14,-4,14.560219778561036,-15,2,15.132745950421556,-24,19,30.610455730027933,0,0,0.0,24,19,30.610455730027933
2,1,-1,1.4142135623730951,0,0,0.0,0,-2,2.0,0,-1,1.0,0,-2,2.0,1,-5,5.0990195135927845,1,-7,7.0710678118654755,1,-5,5.0990195135927845,2,-8,8.246211251235321,1,-9,9.055385138137417,0,-9,9.0,0,-11,11.0,0,-12,12.0,0,-12,12.0,-2,-11,11.180339887498949,-1,-12,12.041594578792296,-3,-12,12.36931687685298,-1,-12,12.041594578792296,-2,-14,14.142135623730951,-1,-13,13.038404810405298,0,-12,12.0,0,-10,10.0,0,-8,8.0,1,-6,6.082762530298219,3,-6,6.708203932499369,2,0,2.0,1,3,3.1622776601683795,4,7,8.06225774829855,5,10,11.180339887498949,7,9,11.40175425099138,6,9,10.816653826391969,6,14,15.231546211727817,3,19,19.235384061671343,2,24,24.08318915758459,-1,25,25.019992006393608,-4,25,25.317977802344327,-4,20,20.396078054371138,3,10,10.44030650891055,11,-2,11.180339887498949,0,0,0.0,11,25,25.317977802344327
2,0,0,0.0,-1,0,1.0,0,0,0.0,2,-1,2.23606797749979,1,-2,2.23606797749979,2,-1,2.23606797749979,0,-1,1.0,0,0,0.0,1,0,1.0,1,-1,1.4142135623730951,2,-1,2.23606797749979,4,-4,5.656854249492381,6,-5,7.810249675906654,8,-6,10.0,8,-4,8.94427190999916,9,-5,10.295630140987,7,-3,7.615773105863909,10,-2,10.198039027185569,12,-3,12.36931687685298,15,-2,15.132745950421556,14,-3,14.317821063276353,10,-3,10.44030650891055,9,-3,9.486832980505138,11,-1,11.045361017187261,4,-1,4.123105625617661,-5,0,5.0,-13,2,13.152946437965905,-18,6,18.973665961010276,-15,5,15.811388300841896,-13,2,13.152946437965905,-16,1,16.0312195418814,-20,2,20.09975124224178,-19,1,19.026297590440446,-16,2,16.1245154965971,-17,5,17.72004514666935,-15,1,15.033296378372908,-11,0,11.0,-11,6,12.529964086141668,-18,22,28.42534080710379,0,0,0.0,20,22,28.42534080710379
2,1,-1,1.4142135623730951,1,0,1.0,1,-1,1.4142135623730951,1,-1,1.4142135623730951,0,-2,2.0,2,-5,5.385164807134504,2,-5,5.385164807134504,2,-5,5.385164807134504,3,-6,6.708203932499369,2,-8,8.246211251235321,2,-8,8.246211251235321,2,-9,9.219544457292887,2,-10,10.198039027185569,1,-11,11.045361017187261,0,-10,10.0,0,-10,10.0,0,-11,11.0,0,-12,12.0,0,-12,12.0,0,-12,12.0,2,-12,12.165525060596439,0,-9,9.0,1,-7,7.0710678118654755,2,-6,6.324555320336759,3,-5,5.830951894845301,1,-1,1.4142135623730951,1,2,2.23606797749979,2,6,6.324555320336759,4,9,9.848857801796104,6,8,10.0,5,9,10.295630140987,3,11,11.40175425099138,1,18,18.027756377319946,-2,20,20.09975124224178,-4,23,23.345235059857504,-7,21,22.135943621178654,-5,18,18.681541692269406,2,7,7.280109889280518,12,0,12.0,0,0,1.0,12,23,23.345235059857504
2,0,-1,1.0,-1,1,1.4142135623730951,0,0,0.0,2,-1,2.23606797749979,1,-2,2.23606797749979,2,-1,2.23606797749979,0,0,0.0,0,-1,1.0,0,0,0.0,1,1,1.4142135623730951,2,-1,2.23606797749979,3,-3,4.242640687119285,7,-4,8.06225774829855,9,-4,9.848857801796104,7,-3,7.615773105863909,8,-3,8.54400374531753,7,0,7.0,9,-1,9.055385138137417,11,-1,11.045361017187261,14,1,14.035668847618199,14,0,14.0,9,-2,9.219544457292887,9,0,9.0,10,-1,10.04987562112089,3,-1,3.1622776601683795,-5,0,5.0,-16,0,16.0,-21,2,21.095023109728988,-16,2,16.1245154965971,-15,-1,15.033296378372908,-16,-1,16.0312195418814,-19,-2,19.1049731745428,-17,0,17.0,-15,0,15.0,-17,2,17.11724276862369,-15,-1,15.033296378372908,-7,-3,7.615773105863909,-6,4,7.211102550927978,-17,19,25.495097567963924,0,0,0.0,21,19,25.495097567963924
2,1,-1,1.4142135623730951,0,0,0.0,1,0,1.0,0,-1,1.0,0,-1,1.0,0,-4,4.0,1,-4,4.123105625617661,1,-4,4.123105625617661,2,-6,6.324555320336759,2,-6,6.324555320336759,1,-6,6.082762530298219,0,-9,9.0,1,-9,9.055385138137417,1,-10,10.04987562112089,-1,-8,8.06225774829855,-1,-10,10.04987562112089,-2,-9,9.219544457292887,-1,-10,10.04987562112089,-1,-11,11.045361017187261,-1,-11,11.045361017187261,1,-10,10.04987562112089,0,-9,9.0,-1,-7,7.0710678118654755,2,-6,6.324555320336759,2,-5,5.385164807134504,2,-1,2.23606797749979,1,3,3.1622776601683795,4,7,8.06225774829855,4,8,8.94427190999916,7,6,9.219544457292887,6,7,9.219544457292887,4,11,11.704699910719626,2,17,17.11724276862369,0,20,20.0,-2,22,22.090722034374522,-4,21,21.37755832643195,-4,17,17.46424919657298,3,8,8.54400374531753,11,-1,11.045361017187261,0,0,0.0,11,22,22.090722034374522
2,2,-1,2.23606797749979,2,0,2.0,2,-1,2.23606797749979,0,0,0.0,2,-2,2.8284271247461903,2,-3,3.605551275463989,3,-3,4.242640687119285,3,-5,5.830951894845301,3,-5,5.830951894845301,3,-5,5.830951894845301,4,-6,7.211102550927978,3,-9,9.486832980505138,3,-8,8.54400374531753,3,-9,9.486832980505138,2,-9,9.219544457292887,1,-9,9.055385138137417,1,-9,9.055385138137417,1,-11,11.045361017187261,2,-10,10.198039027185569,2,-11,11.180339887498949,2,-11,11.180339887498949,2,-8,8.246211251235321,2,-7,7.280109889280518,3,-6,6.708203932499369,3,-5,5.830951894845301,1,-1,1.4142135623730951,1,2,2.23606797749979,1,4,4.123105625617661,3,8,8.54400374531753,5,8,9.433981132056603,4,7,8.06225774829855,1,11,11.045361017187261,-2,14,14.142135623730951,-4,18,18.439088914585774,-6,19,19.924858845171276,-9,19,21.02379604162864,-7,15,16.55294535724685,2,7,7.280109889280518,12,-1,12.041594578792296,0,0,0.0,12,19,21.02379604162864
2,0,0,0.0,0,1,1.0,0,0,0.0,1,-1,1.4142135623730951,1,-2,2.23606797749979,1,-1,1.4142135623730951,0,-1,1.0,1,0,1.0,0,0,0.0,1,0,1.0,1,-1,1.4142135623730951,2,-4,4.47213595499958,4,-6,7.211102550927978,5,-6,7.810249675906654,6,-5,7.810249675906654,6,-5,7.810249675906654,5,-4,6.4031242374328485,7,-4,8.06225774829855,9,-5,10.295630140987,11,-4,11.704699910719626,12,-5,13.0,8,-5,9.433981132056603,9,-4,9.848857801796104,9,-3,9.486832980505138,4,-1,4.123105625617661,-4,0,4.0,-10,5,11.180339887498949,-13,7,14.7648230602334,-11,7,13.038404810405298,-11,3,11.40175425099138,-12,4,12.649110640673518,-16,2,16.1245154965971,-17,3,17.26267650163207,-14,3,14.317821063276353,-13,6,14.317821063276353,-13,2,13.152946437965905,-10,0,10.0,-9,7,11.40175425099138,-13,23,26.419689627245813,0,0,0.0,17,23,26.419689627245813
2,0,-1,1.0,-1,1,1.4142135623730951,0,0,0.0,2,-1,2.23606797749979,1,-2,2.23606797749979,1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,1,0,1.0,1,0,1.0,1,-1,1.4142135623730951,3,-3,4.242640687119285,4,-5,6.4031242374328485,6,-6,8.48528137423857,6,-5,7.810249675906654,6,-4,7.211102550927978,5,-3,5.830951894845301,7,-2,7.280109889280518,8,-3,8.54400374531753,12,-4,12.649110640673518,11,-3,11.40175425099138,7,-3,7.615773105863909,8,-3,8.54400374531753,8,-2,8.246211251235321,3,-1,3.1622776601683795,-5,0,5.0,-13,2,13.152946437965905,-17,5,17.72004514666935,-14,4,14.560219778561036,-12,2,12.165525060596439,-12,1,12.041594578792296,-15,2,15.132745950421556,-14,2,14.142135623730951,-12,2,12.165525060596439,-15,4,15.524174696260024,-11,1,11.045361017187261,-5,0,5.0,-5,6,7.810249675906654,-12,20,23.323807579381203,0,0,0.0,17,20,23.323807579381203
2,1,-1,1.4142135623730951,2,0,2.0,1,0,1.0,0,-1,1.0,1,-1,1.4142135623730951,2,-3,3.605551275463989,1,-3,3.1622776601683795,2,-4,4.47213595499958,3,-5,5.830951894845301,3,-4,5.0,2,-6,6.324555320336759,2,-7,7.280109889280518,2,-7,7.280109889280518,2,-8,8.246211251235321,0,-8,8.0,1,-8,8.06225774829855,0,-8,8.0,0,-9,9.0,1,-9,9.055385138137417,1,-10,10.04987562112089,2,-10,10.198039027185569,1,-7,7.0710678118654755,0,-7,7.0,3,-6,6.708203932499369,2,-5,5.385164807134504,2,-1,2.23606797749979,1,3,3.1622776601683795,2,5,5.385164807134504,3,7,7.615773105863909,6,5,7.810249675906654,4,6,7.211102550927978,2,9,9.219544457292887,0,15,15.0,-2,18,18.110770276274835,-5,19,19.6468827043885,-7,17,18.384776310850235,-6,15,16.15549442140351,3,7,7.615773105863909,11,-1,11.045361017187261,0,0,1.0,11,19,19.6468827043885
2,0,0,0.0,-1,0,1.0,0,0,0.0,2,-1,2.23606797749979,1,-2,2.23606797749979,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,-1,1.0,3,-2,3.605551275463989,6,-4,7.211102550927978,7,-4,8.06225774829855,6,-3,6.708203932499369,6,-1,6.082762530298219,5,-1,5.0990195135927845,7,-1,7.0710678118654755,10,-1,10.04987562112089,13,0,13.0,11,0,11.0,8,-2,8.246211251235321,8,-2,8.246211251235321,6,-1,6.082762530298219,3,-1,3.1622776601683795,-6,0,6.0,-15,0,15.0,-20,0,20.0,-15,1,15.033296378372908,-13,-1,13.038404810405298,-13,-2,13.152946437965905,-15,0,15.0,-14,-1,14.035668847618199,-12,1,12.041594578792296,-15,2,15.132745950421556,-12,-1,12.041594578792296,-2,-1,2.23606797749979,-2,4,4.47213595499958,-12,18,21.633307652783937,0,0,0.0,20,18,21.633307652783937
2,2,0,2.0,2,0,2.0,2,0,2.0,1,0,1.0,2,-2,2.8284271247461903,2,-2,2.8284271247461903,2,-2,2.8284271247461903,2,-2,2.8284271247461903,4,-4,5.656854249492381,3,-3,4.242640687119285,3,-4,5.0,4,-6,7.211102550927978,3,-5,5.830951894845301,3,-7,7.615773105863909,3,-6,6.708203932499369,2,-6,6.324555320336759,1,-7,7.0710678118654755,2,-8,8.246211251235321,2,-8,8.246211251235321,3,-9,9.486832980505138,3,-9,9.486832980505138,2,-7,7.280109889280518,2,-6,6.324555320336759,2,-5,5.385164807134504,4,-5,6.4031242374328485,1,-1,1.4142135623730951,1,2,2.23606797749979,1,4,4.123105625617661,2,5,5.385164807134504,5,5,7.0710678118654755,3,5,5.830951894845301,0,8,8.0,-2,12,12.165525060596439,-5,15,15.811388300841896,-6,16,17.08800749063506,-9,15,17.4928556845359,-8,12,14.422205101855956,2,6,6.324555320336759,12,-1,12.041594578792296,0,0,1.0,12,16,17.4928556845359
2,0,0,0.0,-1,1,1.4142135623730951,0,0,0.0,2,-1,2.23606797749979,0,-1,1.0,0,-1,1.0,1,0,1.0,0,0,0.0,0,0,0.0,1,0,1.0,0,-1,1.0,1,-2,2.23606797749979,2,-6,6.324555320336759,5,-5,7.0710678118654755,3,-5,5.830951894845301,3,-5,5.830951894845301,4,-4,5.656854249492381,4,-5,6.4031242374328485,5,-6,7.810249675906654,8,-6,10.0,8,-5,9.433981132056603,7,-7,9.899494936611665,6,-5,7.810249675906654,7,-4,8.06225774829855,4,-2,4.47213595499958,0,0,0.0,-6,5,7.810249675906654,-9,8,12.041594578792296,-7,7,9.899494936611665,-8,5,9.433981132056603,-9,5,10.295630140987,-14,4,14.560219778561036,-15,3,15.297058540778355,-11,3,11.40175425099138,-12,6,13.416407864998739,-10,2,10.198039027185569,-11,1,11.045361017187261,-8,6,10.0,-10,21,23.259406699226016,0,0,0.0,15,21,23.259406699226016
2,1,0,1.0,0,0,0.0,0,0,0.0,0,-1,1.0,0,0,0.0,0,-2,2.0,1,-2,2.23606797749979,1,-2,2.23606797749979,2,-4,4.47213595499958,2,-5,5.385164807134504,1,-4,4.123105625617661,1,-5,5.0990195135927845,1,-6,6.082762530298219,2,-6,6.324555320336759,0,-6,6.0,0,-7,7.0,-1,-6,6.082762530298219,0,-8,8.0,0,-9,9.0,0,-9,9.0,1,-8,8.06225774829855,0,-7,7.0,0,-6,6.0,2,-6,6.324555320336759,2,-5,5.385164807134504,1,-1,1.4142135623730951,2,3,3.605551275463989,4,5,6.4031242374328485,4,7,8.06225774829855,6,4,7.211102550927978,5,5,7.0710678118654755,3,9,9.486832980505138,2,15,15.132745950421556,0,17,17.0,-3,19,19.235384061671343,-4,17,17.46424919657298,-4,14,14.560219778561036,4,7,8.06225774829855,11,-2,11.180339887498949,0,0,0.0,11,19,19.235384061671343
2,0,0,0.0,-1,0,1.0,0,0,0.0,2,0,2.0,0,-2,2.0,1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,1,0,1.0,0,-1,1.0,1,0,1.0,1,-4,4.123105625617661,3,-5,5.830951894845301,4,-6,7.211102550927978,4,-5,6.4031242374328485,4,-5,6.4031242374328485,3,-4,5.0,4,-3,5.0,7,-5,8.602325267042627,8,-5,9.433981132056603,9,-5,10.295630140987,6,-5,7.810249675906654,6,-5,7.810249675906654,7,-3,7.615773105863909,2,-2,2.8284271247461903,-5,0,5.0,-10,4,10.770329614269007,-13,7,14.7648230602334,-10,6,11.661903789690601,-9,4,9.848857801796104,-9,3,9.486832980505138,-11,4,11.704699910719626,-11,4,11.704699910719626,-9,3,9.486832980505138,-11,5,12.083045973594572,-9,2,9.219544457292887,-3,1,3.1622776601683795,-3,6,6.708203932499369,-7,20,21.18962010041709,0,0,0.0,13,20,21.18962010041709
2,0,0,0.0,-1,0,1.0,1,0,1.0,1,-1,1.4142135623730951,0,-1,1.0,1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,2,-2,2.8284271247461903,4,-5,6.4031242374328485,5,-5,7.0710678118654755,5,-4,6.4031242374328485,4,-3,5.0,3,-2,3.605551275463989,5,-3,5.830951894845301,6,-3,6.708203932499369,9,-3,9.486832980505138,8,-4,8.94427190999916,6,-4,7.211102550927978,6,-3,6.708203932499369,6,-3,6.708203932499369,1,-1,1.4142135623730951,-5,-1,5.0990195135927845,-13,2,13.152946437965905,-16,4,16.492422502470642,-13,3,13.341664064126334,-10,2,10.198039027185569,-10,1,10.04987562112089,-11,2,11.180339887498949,-11,2,11.180339887498949,-9,3,9.486832980505138,-12,3,12.36931687685298,-9,0,9.0,-1,0,1.0,0,5,5.0,-8,19,20.615528128088304,0,0,0.0,16,19,20.615528128088304
2,2,0,2.0,3,1,3.1622776601683795,2,0,2.0,1,0,1.0,2,0,2.0,3,-1,3.1622776601683795,2,-1,2.23606797749979,3,-1,3.1622776601683795,4,-2,4.47213595499958,3,-3,4.242640687119285,4,-2,4.47213595499958,4,-5,6.4031242374328485,4,-4,5.656854249492381,4,-5,6.4031242374328485,3,-4,5.0,3,-5,5.830951894845301,2,-6,6.324555320336759,4,-6,7.211102550927978,3,-7,7.615773105863909,4,-7,8.06225774829855,4,-8,8.94427190999916,3,-6,6.708203932499369,3,-5,5.830951894845301,3,-5,5.830951894845301,4,-5,6.4031242374328485,1,-1,1.4142135623730951,0,1,1.0,1,3,3.1622776601683795,2,5,5.385164807134504,3,4,5.0,2,4,4.47213595499958,-1,7,7.0710678118654755,-4,10,10.770329614269007,-6,12,13.416407864998739,-9,13,15.811388300841896,-10,13,16.401219466856727,-9,10,13.45362404707371,2,4,4.47213595499958,13,0,13.0,0,0,1.0,13,13,16.401219466856727
2,1,0,1.0,1,0,1.0,1,0,1.0,1,0,1.0,1,-1,1.4142135623730951,1,-2,2.23606797749979,0,-1,1.0,2,-2,2.8284271247461903,3,-3,4.242640687119285,3,-3,4.242640687119285,2,-3,3.605551275463989,2,-4,4.47213595499958,2,-4,4.47213595499958,3,-6,6.708203932499369,1,-4,4.123105625617661,2,-5,5.385164807134504,1,-5,5.0990195135927845,0,-6,6.0,2,-7,7.280109889280518,2,-8,8.246211251235321,2,-7,7.280109889280518,1,-6,6.082762530298219,1,-6,6.082762530298219,2,-5,5.385164807134504,3,-5,5.830951894845301,2,-1,2.23606797749979,1,2,2.23606797749979,2,5,5.385164807134504,3,5,5.830951894845301,4,4,5.656854249492381,3,4,5.0,2,7,7.280109889280518,-1,13,13.038404810405298,-3,15,15.297058540778355,-6,16,17.08800749063506,-7,14,15.652475842498529,-6,12,13.416407864998739,3,5,5.830951894845301,11,-1,11.045361017187261,0,0,1.0,11,16,17.08800749063506
